"file","game","package","engine","unity_runtime","source_analysis","recommended_tool","notes"
"WarFriends_+PvP+Shooter+Game_4.9.5_APKPure.xapk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"WarFriends_+PvP+Shooter+Game_6.2.0_APKPure.xapk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-puzzle-adventure-17.3.1-mod-free-shopping-apkvision.apk","best-fiends-puzzle-adventure-17.3.1-mod-free-shopping-apkvision","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-1390-x86_64-downzen.com.apk","best-fiends-free-puzzle-game-1390-x86 64-downzen.com","","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"best-fiends-free-puzzle-game-1112-arm64-v8a-downzen.com.apks","best-fiends-free-puzzle-game-1112-arm64-v8a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-1112-armeabi-v7a-downzen.com.apks","best-fiends-free-puzzle-game-1112-armeabi-v7a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-1008-arm64-v8a-downzen.com.apks","best-fiends-free-puzzle-game-1008-arm64-v8a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-1008-armeabi-v7a-downzen.com.apks","best-fiends-free-puzzle-game-1008-armeabi-v7a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-880-arm64-v8a-downzen.com.apks","best-fiends-free-puzzle-game-880-arm64-v8a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-880-armeabi-v7a-downzen.com.apks","best-fiends-free-puzzle-game-880-armeabi-v7a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-801-arm64-v8a-downzen.com.apks","best-fiends-free-puzzle-game-801-arm64-v8a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"best-fiends-free-puzzle-game-801-armeabi-v7a-downzen.com.apks","best-fiends-free-puzzle-game-801-armeabi-v7a-downzen.com","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Best Fiends_18.7.0.xapk","Best Fiends","com.Seriously.BestFiends","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Best_Fiends_v1.1.0.apk","Best Fiends v1.1.0","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"Best_Fiends_v7.8.3_armeabi-v7a.apk","Best Fiends v7.8.3 armeabi-v7a","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Match_3_Game_v1.2.2_arm64-v8a.apk","Match 3 Game v1.2.2 arm64-v8a","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Match_3_Game_v2.8.0_arm64-v8a.apk","Match 3 Game v2.8.0 arm64-v8a","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Pico+Tanks_+Multiplayer+Mayhem_51.1.0_APKPure.xapk","Pico Tanks","com.pandaarcade.picotanks","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Pico+Tanks_+Multiplayer+Mayhem_60.1.0_APKPure.xapk","Pico Tanks","com.pandaarcade.picotanks","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.pandaarcade.picotanks-31.7-APK4Fun.com.apk","Picotanks-31","com.pandaarcade.picotanks","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.pandaarcade.picotanks-40.0.1-APK4Fun.com.apk","Picotanks-40","com.pandaarcade.picotanks","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Pico Tanks_23.1.apk","Pico Tanks","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.Seriously.BestFiends-2100100248-appchive.net.apk","Net","com.Seriously.BestFiends","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"com.Seriously.BestFiends-2101500595-appchive.net.apk","Net","com.Seriously.BestFiends","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"com.Seriously.BestFiends-2101500602-appchive.net.apk","Net","com.Seriously.BestFiends","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"com-jsjssea-google-1197-72601576-ad893e1a12537ba8436032c64e6f9f42.apk","com-jsjssea-google-1197-72601576-ad893e1a12537ba8436032c64e6f9f42","","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"Z Day_3.09.0.xapk","Z Day","com.kingsgroup.ww2","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Tank Battle_2.9.xapk","Tank Battle","bibogames.tank.battle.io","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Block+Blast!_10.2.2_APKPure.xapk","Block Blast!","com.block.juggle","Cocos2d-x / Lua","N/A","Cocos assets/Lua bytecode found; native C++ source is not present, Lua may require bytecode decompilation.","Lua bytecode tools / native library inspection","libcocos2d marker present"
"Block Blast!_10.2.2.xapk","Block Blast!","com.block.juggle","Cocos2d-x / Lua","N/A","Cocos assets/Lua bytecode found; native C++ source is not present, Lua may require bytecode decompilation.","Lua bytecode tools / native library inspection","libcocos2d marker present"
"War Alliance_1.39.14.apk","War Alliance","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Rebel+Bots_+Epic+War+PvP+RTS_1.1.1_APKPure.apk","Rebel Bots  Epic War PvP RTS","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Rebel+Bots_+Epic+War+PvP+RTS_1.10.400_APKPure.xapk","Rebel Bots - Epic War","com.rebelbots.epicwar","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"WarFriends_2.3.0.apk","WarFriends","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Troopers+Wars+-+Epic+Brawls_1.2.5_APKPure.xapk","The Troopers","com.Heyworks.Troopers","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"warhands.apk","warhands","","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"Legends_+Fun+Shooting+Games_0.9.0_APKPure.xapk","Legends","com.aboutfun.battlelegends","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Honor+of+Kings_11.4.1.9_APKPure.apk","Honor of Kings","","Unity","Unknown","Unity markers found, but backend markers are incomplete; inspect extracted assets and native libraries manually.","AssetRipper / dnSpyEx depending on recovered files","Unity markers present, runtime markers incomplete"
"a9edf402c5bc012020f15cfba9c6bfe6.apk","a9edf402c5bc012020f15cfba9c6bfe6","","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"Battle+Guys+_+Royale_0.47_APKPure.xapk","Battle Guys","com.kitkagames.battleguys","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Black+Deck+-+Card+Battle+CCG_1.35.17_APKPure.xapk","Black Deck","com.inforcegames.blackdeck","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Duck+Survival_1.4.1_APKPure.xapk","Duck Survival","com.mrtgd2us.google","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Wargard_+Realm+of+Conquest_0.39.75_APKPure.xapk","Wargard","com.bulberry.wargard","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Warpath_+Ace+Shooter_14.20.00_APKPure.xapk","Warpath","com.wondergames.warpath.gp","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"ARMA_3___Mobile_Online_3.0.apk","ARMA 3   Mobile Online","","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"Arma+Mobile+Ops_1.17.0_APKPure.apk","Arma Mobile Ops","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"Arma+Tactics+Demo_1.7834_APKPure.xapk","Arma Tactics Demo","com.bistudio.atdemo","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"Arma-Tactics-v1-7834.apk","Arma-Tactics-v1-7834","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"Breach+And+Clear_0.3_APKPure.apk","Breach And Clear","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com-gun-bnc-1605285-63101484-b21d844ae995d9804e1428018a50dd76.apk","com-gun-bnc-1605285-63101484-b21d844ae995d9804e1428018a50dd76","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Breach+&+Clear_+Tactical+Ops_2.4.86_APKPure.xapk","Breach and Clear","com.gun.bnc","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Noblemen_+1896_1.03.11.3_APKPure.xapk","Noblemen","com.foursakenmedia.noblemen","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"Squad22_ZOV.apk","Squad22 ZOV","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Breach-Clear-v1-43d.apk","Breach-Clear-v1-43d","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"Breach-and-Clear-v2-4-20.apk","Breach-and-Clear-v2-4-20","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Pico-Tanks-26-0-pdalife .apk","Pico-Tanks-26-0-pdalife","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"SWAT_+Squad+Tactics_0.13.9_APKPure.xapk","SWAT","hero.shooter.alpha.game","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"SWAT+2_+Hero+Squad_0.12.1_APKPure.xapk","SWAT 2: Hero Squad","squad.tactic.gun.shooter","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"DomiNations_13.1590.1590.xapk","DomiNations","com.nexonm.dominations.adk","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Duck Survival_1.4.2.xapk","Duck Survival","com.mrtgd2us.google","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Söz_4.4.xapk","Söz","com.oyunstudyosu.theoath","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Tiny Troopers_1.0.6.apk","Tiny Troopers","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"TinyTroopers2_1.4.8.apk","TinyTroopers2","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"War_Alliance_v1.29.4_armeabi-v7a.apk","War Alliance v1.29.4 armeabi-v7a","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Warships Blitz_0.5.71.apk","Warships Blitz","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"Warships Blitz_1.3.4.apk","Warships Blitz","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Warships Blitz_1.1.0.apk","Warships Blitz","","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Warships Blitz_0.6.0.apk","Warships Blitz","","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
